Comment Date,Comment
"Dec 15, 2021, 7:38:50 PM",Druid Hill Labyrinth 
"Dec 27, 2021, 1:18:38 AM",Bark bark turtle!
"Feb 8, 2022, 2:54:31 PM","Me, I need to either learn to stretch or nut up and take another alieve "
"Feb 8, 2022, 3:16:31 PM",Itâ€™s not the beeâ€™s knees
"Feb 9, 2022, 9:15:18 PM",Indeed
"Feb 14, 2022, 3:23:48 PM",Integer? I hardly know â€˜er!
"Feb 18, 2022, 3:44:12 PM","Woot woot, what a hoot!"
"Feb 24, 2022, 4:42:57 AM",Iâ€™ll fight you. 
"Feb 24, 2022, 4:43:08 AM",My chi is mad centered
"Mar 15, 2022, 3:03:58 PM",Gross treadmill
"Apr 7, 2022, 1:39:01 AM",You did it !
"Apr 13, 2022, 11:21:15 AM",Why
"Apr 17, 2022, 1:27:27 AM",Yes
"Apr 20, 2022, 2:11:33 PM",Yeah thatâ€™s me. Just throwing down a casual ultramarathon before stat Phys. No biggie.
"Apr 22, 2022, 12:09:30 PM",God Jeremy be more creative in ur run names
"Apr 28, 2022, 8:28:52 PM",You wanna do what?? ðŸ‘‰ðŸ‘Œ
"Apr 30, 2022, 6:53:45 PM",Center ur chi my dude
"May 2, 2022, 5:06:20 PM",You intimidated it with your mad folk dancing skills
"May 2, 2022, 5:38:07 PM",Boolean with the cs majors?
"May 26, 2022, 10:42:55 PM",Come back to baltimore ;)
"May 31, 2022, 8:47:16 PM",Iâ€™m an animal I live for the pain
"Jun 1, 2022, 11:42:49 AM",Run on the part of the sand that gets wet with the waves it feels like a dream
"Jun 23, 2022, 10:55:31 PM",Tarps off boys
"Jun 29, 2022, 3:05:12 PM",Liar
"Jul 6, 2022, 11:52:11 PM",HELL TO THE YES
"Jul 9, 2022, 4:59:01 PM","I mean this in the kindest possible way,  but what the hell is wrong with you?!"
"Jul 18, 2022, 2:19:31 PM",If you canâ€™t tell which floor is which you might want to use a floorier transform
"Sep 28, 2022, 1:17:15 AM","Live, laugh, long run"
"Oct 8, 2022, 7:35:01 PM",Proper training is for cowards. u got it
